table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Texas: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Cochran County, Texas","3,127","3,127","3,147","3,082","3,028","3,009","2,945","2,977","2,921","2,853","2,831","2,853"
".Coke County, Texas","3,320","3,317","3,319","3,266","3,202","3,180","3,217","3,227","3,259","3,285","3,355","3,387"
".Coleman County, Texas","8,895","8,893","8,870","8,743","8,667","8,526","8,416","8,316","8,412","8,399","8,367","8,175"
".Collin County, Texas","782,341","781,419","787,614","812,540","835,230","856,398","884,688","915,243","943,742","971,864","1,004,307","1,034,730"
".Collingsworth County, Texas","3,057","3,057","3,054","3,085","3,024","3,100","3,016","3,010","3,007","2,964","2,942","2,920"
".Colorado County, Texas","20,874","20,872","20,872","20,806","20,724","20,717","20,696","20,951","21,081","21,291","21,305","21,493"
".Comal County, Texas","108,472","108,520","109,306","112,113","114,873","118,627","123,214","128,795","134,343","140,721","148,141","156,209"
".Comanche County, Texas","13,974","13,960","13,953","13,867","13,723","13,554","13,472","13,395","13,543","13,533","13,540","13,635"
".Concho County, Texas","4,087","4,087","4,102","4,124","4,085","4,122","4,089","4,072","4,140","2,707","2,683","2,726"
".Cooke County, Texas","38,437","38,436","38,472","38,443","38,717","38,456","38,764","39,170","39,343","39,932","40,504","41,257"
".Coryell County, Texas","75,388","75,474","75,651","76,625","78,458","76,761","76,166","76,145","74,803","74,760","74,741","75,951"
".Cottle County, Texas","1,505","1,506","1,512","1,507","1,485","1,442","1,429","1,439","1,402","1,375","1,382","1,398"
".Crane County, Texas","4,375","4,375","4,382","4,358","4,525","4,718","4,897","4,995","4,779","4,685","4,755","4,797"
".Crockett County, Texas","3,719","3,719","3,701","3,652","3,705","3,763","3,790","3,735","3,642","3,535","3,439","3,464"
".Crosby County, Texas","6,059","6,056","6,026","6,044","6,036","5,924","5,825","5,918","5,911","5,849","5,764","5,737"
".Culberson County, Texas","2,398","2,398","2,403","2,393","2,316","2,306","2,282","2,254","2,220","2,230","2,194","2,171"
".Dallam County, Texas","6,703","6,700","6,747","6,888","7,059","7,110","7,214","7,301","7,357","7,272","7,303","7,287"
".Dallas County, Texas","2,368,139","2,367,430","2,372,993","2,408,697","2,455,930","2,484,486","2,519,410","2,557,830","2,591,488","2,620,154","2,629,350","2,635,516"
".Dawson County, Texas","13,833","13,833","13,826","13,747","13,611","13,219","13,445","12,987","12,999","12,744","12,605","12,728"
".Deaf Smith County, Texas","19,372","19,372","19,467","19,522","19,373","19,180","19,123","18,825","18,846","18,753","18,711","18,546"
".Delta County, Texas","5,231","5,232","5,242","5,147","5,242","5,120","5,142","5,159","5,147","5,276","5,332","5,331"
".Denton County, Texas","662,614","662,557","666,760","685,740","707,892","728,624","753,188","779,584","808,212","835,364","858,741","887,207"
".DeWitt County, Texas","20,097","20,097","20,054","20,205","20,358","20,377","20,518","20,632","20,623","20,180","20,106","20,160"
".Dickens County, Texas","2,444","2,441","2,447","2,401","2,322","2,297","2,215","2,204","2,193","2,190","2,218","2,211"
".Dimmit County, Texas","9,996","9,996","10,043","10,109","10,471","10,894","10,987","10,910","10,679","10,282","10,195","10,124"
".Donley County, Texas","3,677","3,726","3,734","3,686","3,645","3,561","3,483","3,391","3,387","3,340","3,315","3,278"
".Duval County, Texas","11,782","11,777","11,724","11,796","11,582","11,581","11,509","11,336","11,431","11,270","11,147","11,157"
".Eastland County, Texas","18,583","18,582","18,594","18,582","18,459","18,279","18,257","18,152","18,240","18,294","18,319","18,360"
".Ector County, Texas","137,130","137,136","137,075","139,642","144,495","149,656","154,588","159,903","157,858","156,951","161,960","166,223"
".Edwards County, Texas","2,002","2,002","1,999","1,979","1,990","1,899","1,904","1,910","1,908","1,929","1,908","1,932"
".Ellis County, Texas","149,610","149,610","150,367","152,373","153,739","155,928","159,204","163,292","168,332","173,405","179,006","184,826"
".El Paso County, Texas","800,647","800,633","803,576","819,896","832,310","830,864","833,783","831,898","834,949","837,401","836,825","839,238"
".Erath County, Texas","37,890","37,895","37,912","38,922","39,405","39,886","40,514","41,191","41,372","41,723","42,223","42,698"
".Falls County, Texas","17,866","17,863","17,891","17,848","17,570","17,242","17,210","17,216","17,276","17,340","17,231","17,297"
".Fannin County, Texas","33,915","33,910","33,920","33,878","33,601","33,510","33,593","33,502","33,933","34,550","35,185","35,514"
".Fayette County, Texas","24,554","24,552","24,556","24,749","24,661","24,721","24,782","24,945","25,018","25,119","25,278","25,346"
".Fisher County, Texas","3,974","3,978","3,959","3,947","3,838","3,859","3,874","3,877","3,877","3,874","3,821","3,830"
".Floyd County, Texas","6,446","6,446","6,403","6,368","6,348","6,245","5,947","5,843","5,847","5,830","5,783","5,712"
".Foard County, Texas","1,336","1,336","1,344","1,361","1,310","1,286","1,275","1,225","1,200","1,202","1,191","1,155"
".Fort Bend County, Texas","585,375","584,699","590,253","606,064","624,824","651,847","684,048","715,331","744,160","767,712","788,081","811,688"
".Franklin County, Texas","10,605","10,601","10,607","10,562","10,637","10,615","10,563","10,603","10,677","10,798","10,778","10,725"
".Freestone County, Texas","19,816","19,817","19,803","19,602","19,484","19,597","19,677","19,746","19,669","19,649","19,789","19,717"
".Frio County, Texas","17,217","17,217","17,256","17,492","17,931","18,400","18,938","19,361","19,584","19,895","20,211","20,306"
".Gaines County, Texas","17,526","17,526","17,588","17,908","18,307","18,807","19,335","20,217","20,446","20,553","20,820","21,492"
".Galveston County, Texas","291,309","291,312","292,484","295,605","301,049","306,589","313,367","320,974","328,820","334,633","337,858","342,139"
".Garza County, Texas","6,461","6,461","6,467","6,560","6,418","6,371","6,417","6,391","6,212","6,490","6,243","6,229"
".Gillespie County, Texas","24,837","24,828","24,874","25,039","25,175","25,363","25,473","25,916","26,206","26,483","26,702","26,988"
".Glasscock County, Texas","1,226","1,226","1,232","1,238","1,280","1,271","1,328","1,380","1,365","1,363","1,391","1,409"
".Goliad County, Texas","7,210","7,210","7,219","7,208","7,331","7,452","7,506","7,513","7,512","7,552","7,588","7,658"
".Gonzales County, Texas","19,807","19,811","19,797","19,755","19,930","20,143","20,347","20,510","20,787","20,742","20,781","20,837"
".Gray County, Texas","22,535","22,537","22,470","22,661","22,920","22,996","23,432","23,265","22,741","22,106","22,051","21,886"
".Grayson County, Texas","120,877","120,877","121,034","121,430","121,854","122,362","123,599","125,628","128,291","131,152","133,787","136,212"
".Gregg County, Texas","121,730","121,747","121,984","122,656","123,089","123,233","123,146","123,800","123,367","122,852","123,251","123,945"
".Grimes County, Texas","26,604","26,581","26,616","26,655","26,679","26,792","26,997","27,299","27,494","27,955","28,291","28,880"
".Guadalupe County, Texas","131,533","131,527","132,587","135,809","139,641","142,881","146,811","150,578","154,492","159,639","163,276","166,847"
".Hale County, Texas","36,273","36,206","36,269","36,381","36,258","35,676","34,451","34,034","34,107","33,954","33,631","33,406"
".Hall County, Texas","3,353","3,353","3,359","3,312","3,268","3,164","3,075","3,094","3,113","3,042","3,025","2,964"
".Hamilton County, Texas","8,517","8,512","8,465","8,389","8,249","8,241","8,160","8,080","8,237","8,407","8,477","8,461"
".Hansford County, Texas","5,613","5,613","5,599","5,580","5,534","5,547","5,561","5,654","5,592","5,485","5,470","5,399"
".Hardeman County, Texas","4,139","4,139","4,159","4,159","4,097","4,065","3,990","3,920","3,982","3,959","3,929","3,933"
".Hardin County, Texas","54,635","54,635","54,784","55,070","55,122","55,305","55,510","55,758","56,242","57,117","57,107","57,602"
".Harris County, Texas","4,092,459","4,093,176","4,107,666","4,179,568","4,263,094","4,353,187","4,455,994","4,557,846","4,623,960","4,657,972","4,680,045","4,713,325"
".Harrison County, Texas","65,631","65,640","65,765","66,338","66,256","66,267","66,581","66,685","66,611","66,468","66,584","66,553"
".Hartley County, Texas","6,062","6,062","6,064","6,031","6,090","5,999","6,055","5,702","5,740","5,716","5,611","5,576"
".Haskell County, Texas","5,899","5,902","5,879","5,959","5,885","5,901","5,811","5,821","5,751","5,699","5,699","5,658"
".Hays County, Texas","157,107","157,103","158,214","163,270","168,519","176,035","184,854","194,662","204,546","214,726","222,706","230,191"
".Hemphill County, Texas","3,807","3,807","3,795","3,956","4,093","4,153","4,165","4,277","4,101","3,929","3,845","3,819"
".Henderson County, Texas","78,532","78,578","78,665","78,837","78,992","78,669","79,324","79,492","80,062","80,954","82,103","82,737"
".Hidalgo County, Texas","774,769","774,764","779,149","795,517","808,334","818,619","829,819","839,667","848,960","856,249","862,298","868,707"
".Hill County, Texas","35,089","35,088","35,144","35,200","35,157","34,851","34,767","34,828","35,102","35,703","36,165","36,649"
".Hockley County, Texas","22,935","22,927","22,853","22,931","23,074","23,408","23,463","23,310","23,043","22,977","22,971","23,021"
".Hood County, Texas","51,182","51,163","51,268","51,563","52,129","52,860","53,812","55,227","56,569","57,973","60,177","61,643"
".Hopkins County, Texas","35,161","35,163","35,208","35,259","35,312","35,299","35,686","35,973","36,184","36,451","36,738","37,084"
".Houston County, Texas","23,732","23,731","23,682","23,434","23,213","22,809","22,809","22,747","22,897","23,089","23,068","22,968"
".Howard County, Texas","35,012","35,012","34,993","34,990","35,495","36,185","36,542","37,123","36,214","35,817","35,925","36,664"
".Hudspeth County, Texas","3,476","3,476","3,472","3,412","3,357","3,339","3,306","3,541","4,254","4,604","4,788","4,886"
".Hunt County, Texas","86,129","86,144","86,365","86,687","86,979","87,429","88,639","89,670","91,895","94,046","96,606","98,594"
".Hutchinson County, Texas","22,150","22,251","22,214","22,024","22,022","21,921","21,915","21,793","21,528","21,343","21,119","20,938"
".Irion County, Texas","1,599","1,597","1,607","1,592","1,573","1,610","1,574","1,543","1,562","1,512","1,516","1,536"
".Jack County, Texas","9,044","9,041","9,004","9,030","8,992","8,951","8,880","8,883","8,789","8,828","8,825","8,935"
".Jackson County, Texas","14,075","14,075","14,091","14,048","14,271","14,610","14,723","14,808","14,873","14,806","14,834","14,760"
".Jasper County, Texas","35,710","35,710","35,777","36,204","35,854","35,617","35,424","35,266","35,417","35,549","35,769","35,529"
".Jeff Davis County, Texas","2,342","2,342","2,344","2,282","2,296","2,231","2,217","2,199","2,231","2,260","2,243","2,274"
".Jefferson County, Texas","252,273","252,277","252,455","253,494","251,605","253,079","252,897","255,112","255,748","256,041","253,234","251,565"
".Jim Hogg County, Texas","5,300","5,300","5,287","5,289","5,277","5,263","5,328","5,296","5,257","5,212","5,192","5,200"
".Jim Wells County, Texas","40,838","40,843","40,894","41,224","41,651","41,681","41,504","41,523","41,181","40,920","40,756","40,482"
".Johnson County, Texas","150,934","150,956","151,264","152,094","153,415","154,535","156,733","159,345","162,763","167,012","171,121","175,817"
".Jones County, Texas","20,202","20,192","20,238","20,270","19,870","20,044","19,850","19,966","19,971","19,827","19,866","20,083"
".Karnes County, Texas","14,824","14,828","14,889","14,959","14,859","14,727","14,910","15,413","15,494","15,556","15,660","15,601"
".Kaufman County, Texas","103,350","103,348","103,872","105,199","106,553","108,248","110,872","114,055","117,904","122,628","128,279","136,154"
".Kendall County, Texas","33,410","33,384","33,589","34,421","35,551","37,133","38,363","39,938","41,903","43,969","45,603","47,431"
".Kenedy County, Texas",416,413,417,438,447,438,437,441,436,427,437,404
".Kent County, Texas",808,808,812,813,825,782,748,747,748,759,726,762
".Kerr County, Texas","49,625","49,644","49,643","49,641","49,719","49,787","50,343","50,880","51,426","51,892","52,415","52,600"
".Kimble County, Texas","4,607","4,605","4,601","4,594","4,525","4,461","4,464","4,391","4,413","4,385","4,338","4,337"
".King County, Texas",286,285,288,258,270,273,263,282,292,289,276,272
".Kinney County, Texas","3,598","3,598","3,590","3,607","3,639","3,632","3,554","3,589","3,636","3,711","3,692","3,667"
".Kleberg County, Texas","32,061","32,061","32,037","32,029","32,097","32,021","31,891","31,413","31,304","30,752","30,722","30,680"
".Knox County, Texas","3,719","3,719","3,723","3,722","3,730","3,722","3,801","3,792","3,732","3,674","3,662","3,664"
".Lamar County, Texas","49,793","49,791","49,820","49,861","49,656","49,092","49,411","49,373","49,528","49,568","49,729","49,859"
".Lamb County, Texas","13,977","13,976","13,993","14,059","13,863","13,663","13,484","13,259","13,195","13,165","13,103","12,893"
".Lampasas County, Texas","19,677","19,675","19,762","19,924","20,054","20,142","20,106","20,362","20,524","20,861","21,134","21,428"
".La Salle County, Texas","6,886","6,886","6,913","7,002","7,157","7,444","7,481","7,637","7,596","7,530","7,493","7,520"
".Lavaca County, Texas","19,263","19,264","19,256","19,311","19,528","19,631","19,779","19,919","19,891","20,028","20,114","20,154"
".Lee County, Texas","16,612","16,609","16,591","16,556","16,505","16,545","16,621","16,868","16,975","17,109","17,097","17,239"
".Leon County, Texas","16,801","16,798","16,723","16,829","16,741","16,620","16,730","17,028","17,200","17,235","17,260","17,404"
".Liberty County, Texas","75,643","75,643","75,859","75,990","76,370","76,849","78,045","79,537","81,354","83,597","85,802","88,219"
".Limestone County, Texas","23,384","23,388","23,492","23,591","23,686","23,440","23,529","23,442","23,472","23,391","23,343","23,437"
".Lipscomb County, Texas","3,302","3,302","3,283","3,334","3,447","3,490","3,553","3,559","3,494","3,364","3,342","3,233"
".Live Oak County, Texas","11,531","11,533","11,556","11,507","11,655","11,817","12,057","12,173","12,023","12,146","12,148","12,207"
".Llano County, Texas","19,301","19,303","19,336","19,073","19,266","19,509","19,666","20,081","20,592","21,167","21,600","21,795"
".Loving County, Texas",82,82,84,95,86,106,89,119,117,133,148,169
".Lubbock County, Texas","278,831","278,918","280,301","283,408","285,961","289,515","294,433","298,337","302,094","305,413","307,627","310,569"
".Lynn County, Texas","5,915","5,915","5,914","5,886","5,796","5,728","5,798","5,746","5,775","5,832","5,848","5,951"
".McCulloch County, Texas","8,283","8,284","8,231","8,254","8,241","8,243","8,152","8,255","8,124","7,941","7,982","7,984"
".McLennan County, Texas","234,906","234,903","235,917","237,852","239,368","241,443","243,166","245,444","247,553","251,631","254,196","256,623"
".McMullen County, Texas",707,707,711,697,730,760,799,828,806,765,731,743
".Madison County, Texas","13,664","13,670","13,739","13,753","13,746","13,820","13,871","13,968","14,120","14,251","14,363","14,284"
".Marion County, Texas","10,546","10,535","10,485","10,475","10,374","10,277","10,149","10,136","10,125","10,057","9,915","9,854"
".Martin County, Texas","4,799","4,799","4,809","4,884","4,980","5,272","5,462","5,646","5,616","5,531","5,681","5,771"
".Mason County, Texas","4,012","4,013","4,010","4,033","4,056","4,120","4,095","4,057","4,161","4,179","4,259","4,274"
".Matagorda County, Texas","36,702","36,702","36,709","36,681","36,544","36,500","36,478","36,766","37,088","36,805","36,566","36,643"
".Maverick County, Texas","54,258","54,258","54,432","55,260","55,765","56,532","57,115","57,720","58,041","58,111","58,276","58,722"
".Medina County, Texas","46,006","45,993","46,114","46,507","46,796","47,238","47,830","48,402","49,254","50,183","50,862","51,584"
".Menard County, Texas","2,242","2,242","2,230","2,214","2,204","2,137","2,128","2,134","2,091","2,110","2,120","2,138"
".Midland County, Texas","136,872","136,872","136,974","140,224","147,332","152,356","156,725","162,328","163,850","165,318","172,505","176,832"
".Milam County, Texas","24,757","24,759","24,681","24,607","24,114","24,090","24,143","24,362","24,680","24,939","25,045","24,823"
".Mills County, Texas","4,936","4,941","4,968","4,883","4,832","4,872","4,872","4,889","4,884","4,917","4,883","4,873"
".Mitchell County, Texas","9,403","9,403","9,412","9,396","9,329","8,999","9,070","8,856","8,474","8,215","8,525","8,545"
".Montague County, Texas","19,719","19,720","19,718","19,759","19,477","19,387","19,365","19,252","19,390","19,399","19,584","19,818"
".Montgomery County, Texas","455,746","455,747","459,208","471,415","484,565","498,392","517,146","535,753","555,216","571,615","589,770","607,391"
".Moore County, Texas","21,904","21,904","22,005","22,070","22,430","22,146","21,986","21,725","21,641","21,604","21,083","20,940"
".Morris County, Texas","12,934","12,934","12,919","12,770","12,703","12,680","12,606","12,370","12,429","12,375","12,303","12,388"
".Motley County, Texas","1,210","1,205","1,205","1,200","1,197","1,192","1,149","1,146","1,170","1,226","1,232","1,200"
".Nacogdoches County, Texas","64,524","64,524","64,685","65,655","65,866","65,193","65,240","65,462","65,549","65,317","65,161","65,204"
".Navarro County, Texas","47,735","47,840","47,869","48,074","48,163","48,036","47,913","48,181","48,405","48,739","49,536","50,113"
".Newton County, Texas","14,445","14,445","14,448","14,563","14,434","14,341","14,292","14,158","14,160","13,908","13,751","13,595"
".Nolan County, Texas","15,216","15,213","15,244","15,143","14,932","15,068","15,126","15,111","15,044","14,854","14,799","14,714"
".Nueces County, Texas","340,223","340,223","340,245","343,263","347,939","352,946","356,657","360,504","361,642","361,235","362,026","362,294"
".Ochiltree County, Texas","10,223","10,223","10,171","10,444","10,612","10,704","10,715","10,698","10,257","9,996","9,866","9,836"
".Oldham County, Texas","2,052","2,052","2,050","2,072","2,046","2,088","2,069","2,064","2,074","2,104","2,118","2,112"
".Orange County, Texas","81,837","81,837","82,012","82,341","82,887","82,811","83,244","83,955","84,549","84,971","83,474","83,396"
".Palo Pinto County, Texas","28,111","28,132","28,095","28,062","27,867","27,886","28,041","27,966","28,125","28,544","28,874","29,189"
".Panola County, Texas","23,796","23,796","23,772","24,007","24,001","23,790","23,750","23,667","23,419","23,211","23,142","23,194"
".Parker County, Texas","116,927","116,949","117,316","118,320","119,482","119,785","122,147","125,640","128,967","133,501","138,070","142,878"
".Parmer County, Texas","10,269","10,269","10,265","10,276","10,184","9,986","9,952","9,794","9,762","9,710","9,719","9,605"
".Pecos County, Texas","15,507","15,507","15,523","15,643","15,568","15,660","15,828","16,030","15,881","15,634","15,709","15,823"
".Polk County, Texas","45,413","45,415","45,446","45,580","45,510","45,522","45,813","46,613","47,656","48,990","49,955","51,353"
".Potter County, Texas","121,073","121,078","121,371","122,305","122,739","122,127","122,061","121,272","120,632","120,340","118,711","117,415"
".Presidio County, Texas","7,818","7,817","7,875","7,754","7,619","7,386","7,194","7,057","7,156","7,100","6,856","6,704"
".Rains County, Texas","10,914","10,916","10,913","11,003","10,939","11,033","11,013","11,136","11,304","11,730","12,147","12,514"
".Randall County, Texas","120,725","120,720","121,179","123,424","124,975","126,753","128,733","130,368","132,342","134,015","135,691","137,713"
".Reagan County, Texas","3,367","3,367","3,353","3,393","3,477","3,633","3,785","3,807","3,726","3,712","3,736","3,849"
".Real County, Texas","3,309","3,309","3,322","3,431","3,352","3,318","3,347","3,297","3,399","3,417","3,477","3,452"
".Red River County, Texas","12,860","12,862","12,874","12,682","12,723","12,487","12,445","12,345","12,179","12,164","12,143","12,023"
".Reeves County, Texas","13,783","13,783","13,834","14,098","14,265","14,494","15,124","15,574","15,229","15,166","15,513","15,976"
".Refugio County, Texas","7,383","7,383","7,375","7,321","7,256","7,279","7,362","7,326","7,272","7,180","7,000","6,948"
".Roberts County, Texas",929,929,924,926,942,919,914,910,910,941,898,854
".Robertson County, Texas","16,622","16,620","16,555","16,657","16,455","16,431","16,468","16,698","16,804","17,153","17,219","17,074"
".Rockwall County, Texas","78,337","78,345","78,919","81,045","82,710","84,670","87,064","90,170","93,421","96,824","100,546","104,915"
".Runnels County, Texas","10,501","10,502","10,508","10,500","10,335","10,196","10,294","10,387","10,276","10,282","10,178","10,264"
".Rusk County, Texas","53,330","53,309","53,361","53,702","53,793","53,332","53,212","52,965","52,892","54,213","54,301","54,406"
".Sabine County, Texas","10,834","10,836","10,871","10,727","10,524","10,424","10,428","10,440","10,381","10,417","10,576","10,542"
".San Augustine County, Texas","8,865","8,861","8,854","8,799","8,789","8,663","8,481","8,349","8,288","8,302","8,254","8,237"
".San Jacinto County, Texas","26,384","26,378","26,474","26,780","26,942","26,731","27,049","27,361","27,732","28,231","28,717","28,859"
".San Patricio County, Texas","64,804","64,802","64,431","64,458","65,260","66,134","66,656","67,117","67,311","67,210","66,671","66,730"
".San Saba County, Texas","6,131","6,130","6,134","6,047","5,990","5,960","5,858","5,922","5,922","5,996","6,060","6,055"
".Schleicher County, Texas","3,461","3,461","3,503","3,310","3,259","3,191","3,164","3,195","3,057","2,989","2,880","2,793"
".Scurry County, Texas","16,921","16,919","16,928","16,868","17,125","17,272","17,377","17,570","17,394","17,003","16,812","16,703"
".Shackelford County, Texas","3,378","3,376","3,383","3,334","3,361","3,375","3,316","3,333","3,337","3,289","3,256","3,265"
".Shelby County, Texas","25,448","25,448","25,458","25,733","26,062","25,977","25,607","25,373","25,566","25,225","25,307","25,274"
".Sherman County, Texas","3,034","3,034","3,025","3,014","3,039","3,070","3,065","3,058","3,070","3,046","3,101","3,022"
".Smith County, Texas","209,714","209,725","210,408","212,764","214,811","216,475","219,642","222,390","225,161","227,195","229,749","232,751"
".Somervell County, Texas","8,490","8,491","8,500","8,426","8,554","8,566","8,559","8,618","8,671","8,855","9,030","9,128"
".Starr County, Texas","60,968","60,967","61,134","61,642","61,970","62,381","62,965","63,484","63,894","64,130","64,249","64,633"
".Stephens County, Texas","9,630","9,634","9,620","9,536","9,614","9,371","9,342","9,385","9,377","9,287","9,405","9,366"
".Sterling County, Texas","1,143","1,143","1,137","1,170","1,191","1,229","1,340","1,333","1,339","1,287","1,304","1,291"
".Stonewall County, Texas","1,490","1,490","1,496","1,463","1,452","1,418","1,388","1,398","1,401","1,376","1,352","1,350"
".Sutton County, Texas","4,128","4,128","4,062","3,987","3,916","3,982","3,969","3,915","3,886","3,792","3,752","3,776"
".Swisher County, Texas","7,854","7,859","7,918","7,804","7,845","7,720","7,554","7,477","7,428","7,446","7,413","7,397"
".Tarrant County, Texas","1,809,034","1,810,664","1,817,480","1,847,882","1,882,205","1,912,767","1,946,122","1,984,880","2,023,556","2,056,451","2,081,446","2,102,515"
".Taylor County, Texas","131,506","131,515","131,835","132,853","134,084","133,927","134,987","136,133","136,257","136,634","137,294","138,034"
".Terrell County, Texas",984,984,"1,011",950,921,891,910,867,818,814,810,776
".Terry County, Texas","12,651","12,651","12,682","12,661","12,632","12,713","12,795","12,759","12,770","12,429","12,344","12,337"
".Throckmorton County, Texas","1,641","1,641","1,639","1,637","1,610","1,606","1,613","1,559","1,537","1,510","1,504","1,501"
".Titus County, Texas","32,334","32,334","32,419","32,452","32,612","32,587","32,502","32,626","32,463","32,619","32,743","32,750"
".Tom Green County, Texas","110,224","110,228","110,678","111,751","113,307","114,680","116,319","117,514","117,634","117,566","118,014","119,200"
".Travis County, Texas","1,024,266","1,024,444","1,030,503","1,061,709","1,096,886","1,122,248","1,152,260","1,179,805","1,206,110","1,227,585","1,246,572","1,273,954"
